1	2	2	1	2	16	2
1	2	2	1	2	1	2
1	2	2	1	2	2	1
12	2	2	1	2	2	2
6	2	2	1	2	4	2
1	2	2	1	3	1	2
1	2	2	1	3	2	2
1	2	2	1	4	1	2
1	2	2	1	4	2	2
3	2	2	1	4	4	2
16	2	2	2	1	2	2
1	2	2	2	1	4	1
3	2	2	2	1	4	2
4	2	2	2	2	16	16
54	2	2	2	2	16	2
1	2	2	2	2	16	4
8	2	2	2	2	1	2
74	2	2	2	2	2	16
10	2	2	2	2	2	1
8643	2	2	2	2	2	2
1	2	2	2	2	2	3
101	2	2	2	2	2	4
1	2	2	2	2	3	2
8	2	2	2	2	4	16
498	2	2	2	2	4	2
12	2	2	2	2	4	4
1	2	2	2	3	1	4
2	2	2	2	3	2	2
1	2	2	2	4	1	1
16	2	2	2	4	1	2
3	2	2	2	4	1	4
1	2	2	2	4	2	16
50	2	2	2	4	2	2
2	2	2	2	4	2	4
2	2	2	2	4	3	2
1	2	2	2	4	4	1
66	2	2	2	4	4	2
5	2	2	2	4	4	4
1	2	2	3	1	2	2
1	2	2	3	2	16	2
2	2	2	3	2	1	2
1	2	2	3	2	2	16
8	2	2	3	2	2	2
1	2	2	3	2	3	2
1	2	2	3	2	4	16
1	2	2	3	2	4	1
15	2	2	3	2	4	2
1	2	2	3	4	1	2
1	2	2	3	4	2	2
4	2	2	3	4	4	2
2	2	2	4	1	2	2
2	2	2	4	1	4	2
4	2	2	4	2	16	2
2	2	2	4	2	2	16
1	2	2	4	2	2	1
42	2	2	4	2	2	2
4	2	2	4	2	2	4
18	2	2	4	2	4	2
1	2	2	4	3	16	2
1	2	2	4	3	1	2
5	2	2	4	4	1	2
5	2	2	4	4	1	4
1	2	2	4	4	2	1
19	2	2	4	4	2	2
1	2	2	4	4	2	4
74	2	2	4	4	4	2
9	2	2	4	4	4	4
1	2	3	1	4	4	2
1	2	3	2	1	4	16
1	2	3	2	2	16	2
7	2	3	2	2	2	2
6	2	3	2	2	4	2
1	2	3	4	2	16	2
1	2	3	4	2	2	2
1	2	3	4	2	4	2
1	2	3	4	4	2	2
1	2	3	4	4	2	4
7	2	3	4	4	4	2
1	2	3	4	4	4	4
19	2	4	16	16	2	2
21	2	4	16	16	4	2
1	2	4	16	1	4	2
23	2	4	16	2	16	2
1	2	4	16	2	16	4
1	2	4	16	2	1	2
1	2	4	16	2	2	16
28	2	4	16	2	2	2
1	2	4	16	2	3	2
1	2	4	16	2	4	16
53	2	4	16	2	4	2
1	2	4	16	2	4	3
1	2	4	16	3	3	2
1	2	4	16	3	4	2
1	2	4	16	4	2	2
1	2	4	16	4	4	1
120	2	4	16	4	4	2
3	2	4	16	4	4	4
1	2	4	1	2	16	2
2	2	4	1	2	2	2
6	2	4	1	2	4	2
1	2	4	1	2	4	4
4	2	4	1	4	4	2
5	2	4	2	1	16	2
1	2	4	2	1	16	4
1	2	4	2	1	2	1
11	2	4	2	1	2	2
1	2	4	2	1	3	2
4	2	4	2	1	4	2
2	2	4	2	2	16	16
1	2	4	2	2	16	1
39	2	4	2	2	16	2
7	2	4	2	2	1	2
3	2	4	2	2	2	16
1	2	4	2	2	2	1
226	2	4	2	2	2	2
5	2	4	2	2	2	4
3	2	4	2	2	3	2
70	2	4	2	2	4	16
9	2	4	2	2	4	1
6416	2	4	2	2	4	2
1	2	4	2	2	4	3
79	2	4	2	2	4	4
1	2	4	2	3	16	2
1	2	4	2	3	2	2
1	2	4	2	3	4	2
6	2	4	2	4	1	2
1	2	4	2	4	2	1
33	2	4	2	4	2	2
3	2	4	2	4	3	2
1	2	4	2	4	3	4
9	2	4	2	4	4	16
2	2	4	2	4	4	1
1628	2	4	2	4	4	2
29	2	4	2	4	4	4
3	2	4	3	2	16	2
1	2	4	3	2	1	2
4	2	4	3	2	2	2
12	2	4	3	2	4	2
2	2	4	3	3	4	2
10	2	4	3	4	4	2
1	2	4	3	4	4	4
2	2	4	4	1	2	2
1	2	4	4	1	4	2
1	2	4	4	1	4	4
2	2	4	4	2	16	1
7	2	4	4	2	16	2
1	2	4	4	2	1	2
38	2	4	4	2	2	2
2	2	4	4	2	4	16
325	2	4	4	2	4	2
4	2	4	4	2	4	4
2	2	4	4	3	16	2
1	2	4	4	3	4	2
5	2	4	4	4	1	2
1	2	4	4	4	1	4
1	2	4	4	4	2	16
37	2	4	4	4	2	2
2	2	4	4	4	3	2
37	2	4	4	4	4	16
4	2	4	4	4	4	1
3593	2	4	4	4	4	2
3	2	4	4	4	4	3
106	2	4	4	4	4	4
1	3	16	2	2	4	2
1	3	16	4	4	4	2
1	3	1	2	2	4	2
1	3	1	2	4	1	3
1	3	2	16	2	2	2
6	3	2	2	2	2	2
2	3	2	2	2	4	2
1	3	2	4	4	2	2
